name,lat,lon
105-20,50.447054," 30.461190"
32-13,50.447853,30.455563
113-20,50.447054," 30.461190"
507-30,50.4425848,30.4460375
109-20,50.447054," 30.461190"
111-20,50.447054," 30.461190"
204-05,50.449142,30.4653065
331-07,50.448603,30.457019
22-25,50.4567085,30.5183015
"9б-25",50.4567085,30.5183015
10-25,50.4567085,30.5183015
27-25,50.4567085,30.5183015
1-3-25,50.4567085,30.5183015
52-25,50.4567085,30.5183015
23-25,50.4567085,30.5183015
51-25,50.4567085,30.5183015
53-25,50.4567085,30.5183015
35.1-25,50.4567085,30.5183015
"9а-25",50.4567085,30.5183015
71-08,50.4520315,30.4533535
18-25,50.4567085,30.5183015
20-25,50.4567085,30.5183015
17-25,50.4567085,30.5183015
503-07,50.448603,30.457019
45-08,50.4520315,30.4533535
97-08,50.4520315,30.4533535
441-19,50.4480855,30.4585595
26-08,50.4520315,30.4533535
327-19,50.4480855,30.4585595
318-19,50.4480855,30.4585595
331-19,50.4480855,30.4585595
342-19,50.4480855,30.4585595
319-19,50.4480855,30.4585595
320-19,50.4480855,30.4585595
330-19,50.4480855,30.4585595
332-19,50.4480855,30.4585595
322-19,50.4480855,30.4585595
326-19,50.4480855,30.4585595
509-07,50.448603,30.457019
214-18,50.447021,30.456021
15-13,50.447853,30.455563
901-21,50.4465815,30.4610055
279-01,50.449306,30.460681
324-1-18,50.447021,30.456021
170-01,50.449306,30.460681
1-201-01,50.449306,30.460681
513-20,50.447054," 30.461190"
1-203-01,50.449306,30.460681
218-18,50.447021,30.456021
287-01,50.449306,30.460681
287a-01,50.449306,30.460681
606-21,50.4465815,30.4610055
08-01,50.449306,30.460681
285-01,50.449306,30.460681
"285б-01",50.449306,30.460681
213-01,50.449306,30.460681
1-213-01,50.449306,30.460681
2-2-01,50.449306,30.460681
2-4-1-01,50.449306,30.460681
319-18,50.447021,30.456021
"333а-18",50.447021,30.456021
232-18,50.447021,30.456021
283-01,50.449306,30.460681
289-01,50.449306,30.460681
292-01,50.449306,30.460681
291-01,50.449306,30.460681
285a-01,50.449306,30.460681
512-20,50.447054," 30.461190"
215-18,50.447021,30.456021
511-20,50.447054," 30.461190"
226-18,50.447021,30.456021
321-20,50.447054," 30.461190"
331-18,50.447021,30.456021
168-01,50.449306,30.460681
318-01,50.449306,30.460681
317-01,50.449306,30.460681
906-21,50.4465815,30.4610055
"170а-01",50.449306,30.460681
"1-3а-01",50.449306,30.460681
298/1-01,50.449306,30.460681
"3-1б-01",50.449306,30.460681
3-4-01,50.449306,30.460681
2-4-01,50.449306,30.460681
12-13,50.447853,30.455563
701-21,50.4465815,30.4610055
911-21,50.4465815,30.4610055
710-21,50.4465815,30.4610055
712-21,50.4465815,30.4610055
607/1-21,50.4465815,30.4610055
707-21,50.4465815,30.4610055
"147а-16",50.447634," 30.457222"
120-07,50.448603,30.457019
108-07,50.448603,30.457019
"193а-01",50.449306,30.460681
145-16,50.447634," 30.457222"
106-07,50.448603,30.457019
"147б-16",50.447634," 30.457222"
324-1-01,50.449306,30.460681
606-22,50.4459415,30.4547315
523-19,50.4480855,30.4585595
344-19,50.4480855,30.4585595
522-19,50.4480855,30.4585595
326/1-35-01,50.449306,30.460681
037-07,50.448603,30.457019
102-07,50.448603,30.457019
195-01,50.449306,30.460681
621-22,50.4459415,30.4547315
603-22,50.4459415,30.4547315
326/1-34-01,50.449306,30.460681
019-07,50.448603,30.457019
623-22,50.4459415,30.4547315
417-19,50.4480855,30.4585595
95-15,50.447720," 30.456686"
605-22,50.4459415,30.4547315
604-22,50.4459415,30.4547315
330-07,50.448603,30.457019
332-07,50.448603,30.457019
602-22,50.4459415,30.4547315
219-17,50.4467592,30.45714
026-01,50.449306,30.460681
228-23,50.445937,30.4541672
232-23,50.445937,30.4541672
223-23,50.445937,30.4541672
113-23,50.445937,30.4541672
101-23,50.445937,30.4541672
231-23,50.445937,30.4541672
314-23,50.445937,30.4541672
323-23,50.445937,30.4541672
319-23,50.445937,30.4541672
230-23,50.445937,30.4541672
110-23,50.445937,30.4541672
108-23,50.445937,30.4541672
"605-а-09",50.446855,30.4617485
322-23,50.445937,30.4541672
112-23,50.445937,30.4541672
312-23,50.445937,30.4541672
229-09,50.446855,30.4617485
302-23,50.445937,30.4541672
320-23,50.445937,30.4541672
301-23,50.445937,30.4541672
102-22,50.4459415,30.4547315
"БФ-01",50.449306,30.460681
308/5-01,50.449306,30.460681
"1-1б-01",50.449306,30.460681
07-2-01,50.449306,30.460681
06-3-01,50.449306,30.460681
308/4-01,50.449306,30.460681
206-09,50.446855,30.4617485
209-09,50.446855,30.4617485
222-09,50.446855,30.4617485
024-09,50.446855,30.4617485
022-09,50.446855,30.4617485
104-09,50.446855,30.4617485
112-09,50.446855,30.4617485
001-09,50.446855,30.4617485
040-09,50.446855,30.4617485
227-09,50.446855,30.4617485
511-09,50.446855,30.4617485
410-09,50.446855,30.4617485
604-09,50.446855,30.4617485
607-09,50.446855,30.4617485
606-09,50.446855,30.4617485
411-09,50.446855,30.4617485
405-09,50.446855,30.4617485
307-09,50.446855,30.4617485
407-09,50.446855,30.4617485
130-09,50.446855,30.4617485
204-09,50.446855,30.4617485
132-09,50.446855,30.4617485
509-09,50.446855,30.4617485
403-19,50.4480855,30.4585595
047-09,50.446855,30.4617485
302-09,50.446855,30.4617485
041-09,50.446855,30.4617485
134-09,50.446855,30.4617485
439-19,50.4480855,30.4585595
338-19,50.4480855,30.4585595
225-23,50.445937,30.4541672
115-09,50.446855,30.4617485
228-09,50.446855,30.4617485
311-09,50.446855,30.4617485
246-3-01,50.449306,30.460681
305/1-01,50.449306,30.460681
316-05,50.449142,30.4653065
302-05,50.449142,30.4653065
807-05,50.449142,30.4653065
702-05,50.449142,30.4653065
802-05,50.449142,30.4653065
808-05,50.449142,30.4653065
806-05,50.449142,30.4653065
710-05,50.449142,30.4653065
601-05,50.449142,30.4653065
521-05,50.449142,30.4653065
524-05,50.449142,30.4653065
"2П-05",50.449142,30.4653065
419-05,50.449142,30.4653065
502-05,50.449142,30.4653065
406-05,50.449142,30.4653065
