url_wiki,name
"http://wiki.kpi.ua/index.php/Корпоративні інформаційні системи та технології_(20102030)","Корпоративні інформаційні системи та технології"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство-1. Право інтелектуальної власності_(20103370)","Інтелектуальна власність та патентознавство-1"
"http://wiki.kpi.ua/index.php/Організація науково-інноваційної діяльності_(20102020)","Організація науково-інноваційної діяльності"
"http://wiki.kpi.ua/index.php/Філософські засади наукової діяльності - 2. Філософська гнесеологія та епістемологія_(20103320)","Філософські засади наукової діяльності - 2"
"http://wiki.kpi.ua/index.php/Сталий іноваційний розвиток_(20101330)","Сталий інов.розв."
"http://wiki.kpi.ua/index.php/Практичний курс іншомовного наукового спілкування-1. Практичний курс іноземної мови для наукового спілкування І_(20102880)","Ін.мова наук"
"http://wiki.kpi.ua/index.php/Комп'ютеризовані системи управління-2. Інтелектуальні інформаційно-керуючі системи_(20102010)","Комп'ютеризовані системи управління-2. Інтелектуальні інформаційно-керуючі системи"
"http://wiki.kpi.ua/index.php/Проектування інформаційних систем-2. Методології та інструментарій проектування інформаційних систем_(20102010)","Проект ІС-2"
"http://wiki.kpi.ua/index.php/WEB-технології_(20102010)","WEB-технології"
"http://wiki.kpi.ua/index.php/Front-End-програмування_(20102010)","Front-End-програмуванн"
"http://wiki.kpi.ua/index.php/Технології .NET розробки веб-додатків_(20102010)","Технології .NET розробки веб-додатків"
"http://wiki.kpi.ua/index.php/Право в галузі реклами на PR_(20103370)","Право в галузі реклами на PR"
"http://wiki.kpi.ua/index.php/Я маю право_(20103350)","Я маю право"
"http://wiki.kpi.ua/index.php/Business Law_(20103370)","Business Law"
"http://wiki.kpi.ua/index.php/Правові основи інформаційної безпеки_(20103370)","Правові основи інформаційної безпеки"
"http://wiki.kpi.ua/index.php/Технології розроблення програмного забезпечення-3. Технології безперервного розроблення та інтеграції програмного забезпечення_(20102010)","Технології розроблення програмного забезпечення-3. Технології безперервного розроблення та інтеграції програмного забезпечення"
"http://wiki.kpi.ua/index.php/Теорія систем та системний аналіз_(20102010)","Терія С та СА"
"http://wiki.kpi.ua/index.php/Інфраструктура інформаційних технологій-1. Компоненти ІТ-інфраструктур_(20102010)","Інфраструктура ІТ-1"
"http://wiki.kpi.ua/index.php/Інтелектуальні системи та технології_(20102010)","Інтел. сис-ми та технології"
"http://wiki.kpi.ua/index.php/Підприємницьке право_(20103360)","Підприємницьке право"
"http://wiki.kpi.ua/index.php/Трудове право_(20103360)","Трудове право"
"http://wiki.kpi.ua/index.php/Мікропроцесорні та мікроконтролерні системи-2. Проектування мікроконтролерних систем_(20102010)","Мікропроцесорні та мікроконтролерні системи-2. Проектування МКС"
"http://wiki.kpi.ua/index.php/Моделювання процесів і систем-2. Моделювання систем керування_(20102010)","Моделювання процесів і систем-2. Моделювання систем керування"
"http://wiki.kpi.ua/index.php/Математичне програмування та дослідження операцій_(20102010)","Матемт. ПР та дослід. операцій"
"http://wiki.kpi.ua/index.php/Правознавство_(20103350)","Правознавство"
"http://wiki.kpi.ua/index.php/Англійська мова професійного спрямування_(20102880)","Анг. мова"
"http://wiki.kpi.ua/index.php/Основи розробки програмного забезпечення на платформі Node.JS_(20102010)","Основи розробки ПЗ на платформі Node.JS"
"http://wiki.kpi.ua/index.php/Системна інженерія-1. Інтелектуальні засоби інформаційних систем_(20102010)","Системна інженерія-1"
"http://wiki.kpi.ua/index.php/Інженерія програмного забезпечення_(20102020)","Інженерія ПЗ"
"http://wiki.kpi.ua/index.php/Сучасні методи цифрової обробки сигналів_(20102010)","Сучасні методи цифрової обробки сигналів"
"http://wiki.kpi.ua/index.php/Практичний курс іноземної мови ІІ_(20102880)","Практичний курс іноземної мови ІІ"
"http://wiki.kpi.ua/index.php/Основи розробки програмного забезпечення на платформі Java_(20102020)","Основи програмного забезпечення на платформі Java"
"http://wiki.kpi.ua/index.php/Технології інтернету речей_(20102010)","Технології інтернету речей"
"http://wiki.kpi.ua/index.php/Стратегія охорони навколишнього середовища_(20101350)","Стратегія охорони навколишнього середовища"
"http://wiki.kpi.ua/index.php/Промислова екологія_(20101350)","Промислова екологія"
"http://wiki.kpi.ua/index.php/Теорія ймовірностей, ймовірнісні процеси і математична статистика_(20102010)","Теорія ймовірностей"
"http://wiki.kpi.ua/index.php/Теорія автоматичного керування -1. Основи теорії автоматичного керування_(20102010)","ТАУ-1"
"http://wiki.kpi.ua/index.php/Екологічна безпека інженерної діяльності_(20101350)","Екологічна безпека інженерної діяльності"
"http://wiki.kpi.ua/index.php/Екологічні аспекти керування якістю навколишнього середовища_(20101350)","Екологічні аспекти керування якістю навколишнього середовища"
"http://wiki.kpi.ua/index.php/Екологічна та природно-техногенна безпека_(20101350)","Еколог. та природно-техногенна безпека"
"http://wiki.kpi.ua/index.php/Електроніка та мікропроцесорна техніка-1. Компютерна електроніка_(20102010)","Ел. та мікр. техн.-2"
"http://wiki.kpi.ua/index.php/Основи розробки програмного забезпечення на платформі .NET_(20102010)","Основи розробки програмного забезпечення на платформі .NET"
"http://wiki.kpi.ua/index.php/Організація сучасних інфокомунікацій_(20102010)","Орг. суч. інфоком."
"http://wiki.kpi.ua/index.php/Методи і технології паралельного програмування_(20102010)","Методи і техн. ПП"
"http://wiki.kpi.ua/index.php/Технології штучного інтелекту в управлінні та керуванні_(20102010)","Техн. ШІ"
"http://wiki.kpi.ua/index.php/Технології створення комплексів інтернету речей_(20102010)","Техн. створ. комп. ІР"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного наукового спілкування-2. Іноземна мова для науковців_(20102880)","Англ наук. мова 2"
